Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelperImpl.java;Session;Hibernate;18;->;0.911111
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelperImpl.java;EntityManager;JPA;9;->;0.888889
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelper.java;SessionFactory;Hibernate;6;->;0.866667
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelper.java;Session;Hibernate;9;->;0.888889
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.dao;DynamicDaoHelper.java;EntityManager;JPA;10;->;0.893333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.persistence;SequenceGeneratorCorruptionDetection.java;SessionFactory;Hibernate;3;->;0.800000
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
