Package,File,Feature,Technology,Confidence,,
main.java.org.broadleafcommerce.common.config.domain,AbstractModuleConfiguration.java,Mapping Joined Table Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.persistence,ArchiveStatus.java,Specifying Columns for fields,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.persistence,ArchiveStatus.java,Embeddable Classes in Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.audit,Auditable.java,Embeddable Classes in Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.web,BaseUrlResolverImpl.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.web.expression,BRCVariableExpression.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.event,BroadleafApplicationEventMulticaster.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.web.resource.resolver,BroadleafCachingResourceResolver.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.web.resource.transformer,BroadleafCachingResourceTransformer.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.dao,BroadleafCurrencyDaoImpl.java,Persistence Contexts,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.domain,BroadleafCurrencyImpl.java,Specifying IDs for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.domain,BroadleafCurrencyImpl.java,Mapping Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.domain,BroadleafCurrencyImpl.java,Specifying Primary Tables for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.domain,BroadleafCurrencyImpl.java,Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.currency.domain,BroadleafCurrencyImpl.java,Mapping Joined Table Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.web,BroadleafSandBoxResolverImpl.java,Autowiring,Spring Beans,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Specifying IDs for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Defining non-persistent properties or fields,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Mapping Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Generation of values for simple identifiers,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Specifying Primary Tables for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Mapping Joined Table Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Batch Reading,Hibernate,0.73333335,Y,
main.java.org.broadleafcommerce.common.sitemap.domain,CustomUrlSiteMapGeneratorConfigurationImpl.java,Cascade all operations,JPA,0.73333335,Y,
