Package,File,Feature,Technology,Confidence,Used
framework.erm.src.org.plazmaforge.framework.erm.query,InsertExecutor.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.query,SelectExecutor.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.query,QueryExecutor.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.query,UpdateExecutor.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.query,ModifyExecutor.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm.procedure,AbstractProcedure.java,EntityManager,JPA,0.46666667,N
framework.erm.src.org.plazmaforge.framework.erm,EntityManager.java,EntityManager,JPA,0.46666667,N
framework.erm.test.org.plazmaforge.framework.erm.sql,SQLExecutorTest.java,EntityManager,JPA,0.46666667,N
framework.erm.test.org.plazmaforge.framework.erm.storage,XMLReaderTest.java,Establishing direct Database Connection,Java SQL,0.46666667,N
bs.base.reportstorage.reports.bank.UA.uk,PaymentOld.jrxml,DataSource,Java SQL,0.46666667,N
bs.base.reportstorage.reports.bank.RU.ru,Payment.jrxml,DataSource,Java SQL,0.46666667,N
bs.base.reportstorage.reports.goods,ExecWorkByPartner.jrxml,JDBC Work,Hibernate,0.46666667,N
bs.base.reportstorage.reports.goods,ExecWorkList.jrxml,JDBC Work,Hibernate,0.46666667,N
bs.base.reportstorage.reports.goods.RU.ru,ExecWorkByPartner.jrxml,JDBC Work,Hibernate,0.46666667,N
bs.base.reportstorage.reports.goods.RU.ru,ExecWorkList.jrxml,JDBC Work,Hibernate,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.views,TableSorter.java,JDBC Work,Hibernate,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.views,TableFilter.java,JDBC Work,Hibernate,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.forms,AbstractListForm.java,DataSource,Java SQL,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.forms,AbstractListForm.java,JDBC Work,Hibernate,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.forms,AbstractForm.java,EntityManager,JPA,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.forms,AbstractForm.java,DataSource,Java SQL,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.forms,AbstractEditForm.java,DataSource,Java SQL,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.controls,FixMenuManager.java,JDBC Work,Hibernate,0.46666667,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.controls,XComboEdit.java,EntityManager,JPA,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.base.client.swing.forms,LoginFrame.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.base.client.swing.actions,RegisterPeriodAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.base.client,SwingClientApplicationManager.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.organization.client.swing.forms,OrganizationList.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.organization.client.swing.forms,AbstractOrganizableList.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.organization.client.swing.forms,AbstractOrganizableEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.organization.client.swing.actions,OrganizationEditAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.contact.client.swing.forms,AbstractContactableEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.bank.client.swing.forms,BankEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.document.client.swing.forms,AbstractDocumentEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.document.client.swing.forms,AbstractDocumentList.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.document.client.swing.forms,AbstractDocumentParentEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.partner.client.swing.forms,PartnerEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.goods.client.swing.actions,ExecWorkListAction.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.goods.client.swing,GUIGoodsEnvironment.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.finance.client.swing.forms,PartnerRestEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.finance.client.swing.forms,LedgerAccountRestEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.finance.client.swing.actions,EntryCalculateAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.employee.client.swing.forms,EmployeeEdit.java,Session,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,EmployeeLeaveAverangeEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,EmployeeLeaveEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,InputWorktimeEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,EmployeeSicklistAverangeEdit.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,InputWorktimeList.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.actions,InputWorktimeListAction.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.actions,PayrollCalculateAction.java,Session,Hibernate,0.46666667,N
framework.client.swing.src.org.plazmaforge.framework.client.swing.forms,EXTFormWorker.java,JDBC Work,Hibernate,0.46666667,N
framework.client.swing.src.org.plazmaforge.framework.client.swing.forms,EXTListForm.java,JDBC Work,Hibernate,0.46666667,N
framework,build.xml,Session,Hibernate,0.46666667,N
framework,build.xml,SessionFactory,Hibernate,0.46666667,N
